id,contract_id,clause_type,text
CLA-001,CON-001,standard,Standard master services agreement terms and conditions apply.
CLA-002,CON-001,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-003,CON-002,standard,Standard master services agreement terms and conditions apply.
CLA-004,CON-002,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-005,CON-003,standard,Standard master services agreement terms and conditions apply.
CLA-006,CON-003,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-007,CON-004,standard,Standard master services agreement terms and conditions apply.
CLA-008,CON-004,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-009,CON-005,standard,Standard master services agreement terms and conditions apply.
CLA-010,CON-005,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-011,CON-006,standard,Standard master services agreement terms and conditions apply.
CLA-012,CON-006,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-013,CON-006,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-014,CON-007,standard,Standard master services agreement terms and conditions apply.
CLA-015,CON-007,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-016,CON-007,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-017,CON-008,standard,Standard master services agreement terms and conditions apply.
CLA-018,CON-008,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-019,CON-009,standard,Standard master services agreement terms and conditions apply.
CLA-020,CON-010,standard,Standard master services agreement terms and conditions apply.
CLA-021,CON-011,standard,Standard master services agreement terms and conditions apply.
CLA-022,CON-012,standard,Standard master services agreement terms and conditions apply.
CLA-023,CON-013,standard,Standard master services agreement terms and conditions apply.
CLA-024,CON-014,standard,Standard master services agreement terms and conditions apply.
CLA-025,CON-015,standard,Standard master services agreement terms and conditions apply.
CLA-026,CON-016,standard,Standard master services agreement terms and conditions apply.
CLA-027,CON-016,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-028,CON-017,standard,Standard master services agreement terms and conditions apply.
CLA-029,CON-018,standard,Standard master services agreement terms and conditions apply.
CLA-030,CON-018,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-031,CON-019,standard,Standard master services agreement terms and conditions apply.
CLA-032,CON-020,standard,Standard master services agreement terms and conditions apply.
CLA-033,CON-021,standard,Standard master services agreement terms and conditions apply.
CLA-034,CON-022,standard,Standard master services agreement terms and conditions apply.
CLA-035,CON-023,standard,Standard master services agreement terms and conditions apply.
CLA-036,CON-024,standard,Standard master services agreement terms and conditions apply.
CLA-037,CON-025,standard,Standard master services agreement terms and conditions apply.
CLA-038,CON-026,standard,Standard master services agreement terms and conditions apply.
CLA-039,CON-027,standard,Standard master services agreement terms and conditions apply.
CLA-040,CON-028,standard,Standard master services agreement terms and conditions apply.
CLA-041,CON-029,standard,Standard master services agreement terms and conditions apply.
CLA-042,CON-030,standard,Standard master services agreement terms and conditions apply.
CLA-043,CON-030,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-044,CON-031,standard,Standard master services agreement terms and conditions apply.
CLA-045,CON-031,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-046,CON-032,standard,Standard master services agreement terms and conditions apply.
CLA-047,CON-033,standard,Standard master services agreement terms and conditions apply.
CLA-048,CON-034,standard,Standard master services agreement terms and conditions apply.
CLA-049,CON-035,standard,Standard master services agreement terms and conditions apply.
CLA-050,CON-036,standard,Standard master services agreement terms and conditions apply.
CLA-051,CON-037,standard,Standard master services agreement terms and conditions apply.
CLA-052,CON-037,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-053,CON-038,standard,Standard master services agreement terms and conditions apply.
CLA-054,CON-039,standard,Standard master services agreement terms and conditions apply.
CLA-055,CON-039,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-056,CON-040,standard,Standard master services agreement terms and conditions apply.
CLA-057,CON-040,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-058,CON-041,standard,Standard master services agreement terms and conditions apply.
CLA-059,CON-041,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-060,CON-042,standard,Standard master services agreement terms and conditions apply.
CLA-061,CON-043,standard,Standard master services agreement terms and conditions apply.
CLA-062,CON-043,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-063,CON-044,standard,Standard master services agreement terms and conditions apply.
CLA-064,CON-044,pii,"Processor handles personal data of EU data subjects including names, contact details and payroll identifiers."
CLA-065,CON-045,standard,Standard master services agreement terms and conditions apply.
CLA-066,CON-045,secret,CONFIDENTIAL: encryption key escrow procedure and root credential rotation schedule (restricted).
CLA-067,CON-046,standard,Standard master services agreement terms and conditions apply.
CLA-068,CON-047,standard,Standard master services agreement terms and conditions apply.
CLA-069,CON-048,standard,Standard master services agreement terms and conditions apply.
