id,supplier_id,granted_at,scope,retention_until
CNS-001,SUP-001,2025-03-31,supplier_pii_processing,2027-03-31
CNS-002,SUP-002,2024-12-31,supplier_pii_processing,2026-12-31
CNS-003,SUP-003,2025-09-08,supplier_pii_processing,2027-09-08
CNS-004,SUP-004,2025-12-17,supplier_pii_processing,2027-12-17
CNS-005,SUP-005,2025-08-07,supplier_pii_processing,2027-08-07
CNS-006,SUP-006,2024-03-26,supplier_pii_processing,2026-03-26
CNS-007,SUP-007,2023-06-22,supplier_pii_processing,2025-06-21
CNS-008,SUP-008,2026-04-13,supplier_pii_processing,2028-04-12
CNS-009,SUP-009,2025-08-13,supplier_pii_processing,2027-08-13
CNS-010,SUP-010,2026-04-26,supplier_pii_processing,2028-04-25
CNS-011,SUP-011,2025-07-07,supplier_pii_processing,2027-07-07
CNS-012,SUP-012,2025-06-03,supplier_pii_processing,2027-06-03
CNS-013,SUP-013,2026-01-13,supplier_pii_processing,2028-01-13
CNS-014,SUP-014,2024-03-23,supplier_pii_processing,2026-03-23
CNS-015,SUP-015,2025-07-02,supplier_pii_processing,2027-07-02
CNS-016,SUP-016,2026-05-26,supplier_pii_processing,2028-05-25
CNS-017,SUP-017,2025-08-02,supplier_pii_processing,2027-08-02
CNS-018,SUP-018,2023-10-07,supplier_pii_processing,2025-10-06
CNS-019,SUP-019,2025-11-05,supplier_pii_processing,2027-11-05
CNS-020,SUP-020,2025-06-16,supplier_pii_processing,2027-06-16
CNS-021,SUP-021,2025-09-19,supplier_pii_processing,2027-09-19
CNS-022,SUP-022,2025-03-25,supplier_pii_processing,2027-03-25
CNS-023,SUP-023,2026-01-11,supplier_pii_processing,2028-01-11
CNS-024,SUP-024,2025-07-20,supplier_pii_processing,2027-07-20
CNS-025,SUP-025,2025-03-02,supplier_pii_processing,2027-03-02
CNS-026,SUP-026,2024-02-09,supplier_pii_processing,2026-02-08
CNS-027,SUP-027,2024-01-10,supplier_pii_processing,2026-01-09
CNS-028,SUP-028,2025-02-25,supplier_pii_processing,2027-02-25
CNS-029,SUP-029,2025-02-09,supplier_pii_processing,2027-02-09
CNS-030,SUP-030,2025-10-14,supplier_pii_processing,2027-10-14
