id,supplier_id,start_date,end_date,value_usd,contains_pii,contains_secrets,quarter,penalty_amount,penalty_probability,penalty_exposure,commercial_confidential
CON-001,SUP-001,2024-12-12,2026-06-30,9800000,True,False,FY26-Q2,0,0.0,0,False
CON-002,SUP-002,2024-11-29,2026-09-15,7400000,True,False,FY26-Q3,0,0.0,0,False
CON-003,SUP-003,2024-04-14,2026-03-01,6100000,True,False,FY26-Q1,0,0.0,0,False
CON-004,SUP-004,2024-05-14,2026-11-20,5250000,True,False,FY26-Q4,0,0.0,0,False
CON-005,SUP-005,2023-11-03,2026-08-10,4900000,True,False,FY26-Q3,0,0.0,0,False
CON-006,SUP-006,2024-10-17,2026-05-05,8300000,True,True,FY26-Q2,0,0.0,0,False
CON-007,SUP-007,2024-02-17,2026-07-07,6750000,True,True,FY26-Q3,0,0.0,0,False
CON-008,SUP-008,2025-01-03,2026-04-04,7900000,True,False,FY26-Q2,0,0.0,0,False
CON-009,SUP-009,2026-11-28,2028-03-07,2600000,False,False,FY28-Q1,0,0.0,0,False
CON-010,SUP-009,2025-04-27,2027-05-13,4900000,False,False,FY27-Q2,0,0.0,0,False
CON-011,SUP-009,2028-03-08,2029-09-02,1900000,False,False,FY29-Q3,0,0.0,0,False
CON-012,SUP-009,2026-06-23,2028-12-31,2600000,False,False,FY28-Q4,0,0.0,0,False
CON-013,SUP-010,2025-09-19,2028-09-17,9300000,False,False,FY28-Q3,0,0.0,0,False
CON-014,SUP-010,2025-07-08,2028-04-01,3500000,False,False,FY28-Q2,0,0.0,0,False
CON-015,SUP-010,2024-02-18,2026-08-12,2500000,False,False,FY26-Q3,0,0.0,0,False
CON-016,SUP-010,2026-03-10,2027-10-14,4900000,True,False,FY27-Q4,0,0.0,0,False
CON-017,SUP-010,2024-02-20,2027-02-07,5800000,False,False,FY27-Q1,0,0.0,0,False
CON-018,SUP-011,2026-03-17,2028-10-04,7400000,True,False,FY28-Q4,0,0.0,0,False
CON-019,SUP-011,2025-05-27,2028-02-15,8000000,False,False,FY28-Q1,0,0.0,0,False
CON-020,SUP-011,2025-04-03,2026-10-05,8300000,False,False,FY26-Q4,0,0.0,0,False
CON-021,SUP-012,2029-01-23,2030-03-30,2800000,False,False,FY30-Q1,0,0.0,0,False
CON-022,SUP-012,2026-02-13,2027-06-28,5200000,False,False,FY27-Q2,0,0.0,0,False
CON-023,SUP-012,2027-05-03,2029-11-09,200000,False,False,FY29-Q4,0,0.0,0,False
CON-024,SUP-012,2025-03-30,2026-08-02,8700000,False,False,FY26-Q3,0,0.0,0,False
CON-025,SUP-012,2025-03-07,2026-08-21,2300000,False,False,FY26-Q3,0,0.0,0,False
CON-026,SUP-013,2025-03-18,2027-01-19,6200000,False,False,FY27-Q1,0,0.0,0,False
CON-027,SUP-013,2026-01-17,2028-06-30,9000000,False,False,FY28-Q2,0,0.0,0,False
CON-028,SUP-013,2024-02-13,2026-10-11,5600000,False,False,FY26-Q4,0,0.0,0,False
CON-029,SUP-013,2026-04-29,2028-07-09,8500000,False,False,FY28-Q3,0,0.0,0,False
CON-030,SUP-014,2026-11-14,2028-02-17,300000,False,True,FY28-Q1,0,0.0,0,False
CON-031,SUP-014,2027-04-05,2030-02-06,5900000,True,False,FY30-Q1,0,0.0,0,False
CON-032,SUP-014,2026-02-02,2028-04-07,2500000,False,False,FY28-Q2,0,0.0,0,False
CON-033,SUP-014,2024-12-23,2026-11-18,5300000,False,False,FY26-Q4,0,0.0,0,False
CON-034,SUP-015,2024-10-09,2027-01-13,4700000,False,False,FY27-Q1,0,0.0,0,False
CON-035,SUP-015,2027-04-30,2030-02-14,1300000,False,False,FY30-Q1,0,0.0,0,False
CON-036,SUP-015,2026-11-30,2028-08-18,7100000,False,False,FY28-Q3,0,0.0,0,False
CON-037,SUP-015,2026-02-19,2027-11-11,2700000,False,True,FY27-Q4,0,0.0,0,False
CON-038,SUP-015,2026-10-20,2028-01-22,6100000,False,False,FY28-Q1,0,0.0,0,False
CON-039,SUP-016,2028-04-15,2030-02-05,5600000,True,False,FY30-Q1,0,0.0,0,False
CON-040,SUP-016,2025-06-01,2027-06-16,7700000,False,True,FY27-Q2,0,0.0,0,False
CON-041,SUP-016,2027-11-07,2030-02-10,300000,True,False,FY30-Q1,0,0.0,0,False
CON-042,SUP-016,2027-08-03,2029-04-10,5100000,False,False,FY29-Q2,0,0.0,0,False
CON-043,SUP-016,2026-06-20,2029-05-02,3200000,True,False,FY29-Q2,0,0.0,0,False
CON-044,SUP-017,2028-05-24,2029-11-17,4100000,True,False,FY29-Q4,0,0.0,0,False
CON-045,SUP-017,2024-10-04,2027-09-15,4700000,False,True,FY27-Q3,0,0.0,0,False
CON-046,SUP-017,2027-06-26,2030-02-11,7800000,False,False,FY30-Q1,0,0.0,0,False
CON-047,SUP-017,2027-07-05,2028-10-31,3300000,False,False,FY28-Q4,0,0.0,0,False
CON-048,SUP-018,2025-10-21,2028-06-18,4800000,False,False,FY28-Q2,0,0.0,0,False
CON-049,SUP-018,2026-06-02,2029-04-09,4700000,True,False,FY29-Q2,0,0.0,0,False
CON-050,SUP-018,2027-07-03,2029-03-20,1700000,True,False,FY29-Q1,0,0.0,0,False
CON-051,SUP-018,2026-05-30,2028-03-09,4400000,True,False,FY28-Q1,0,0.0,0,False
CON-052,SUP-019,2028-08-19,2029-10-06,9000000,False,True,FY29-Q4,0,0.0,0,False
CON-053,SUP-019,2025-04-24,2026-10-06,6900000,False,True,FY26-Q4,0,0.0,0,False
CON-054,SUP-020,2026-09-25,2029-05-08,8200000,False,False,FY29-Q2,0,0.0,0,False
CON-055,SUP-020,2029-01-04,2030-04-18,1000000,False,False,FY30-Q2,0,0.0,0,False
CON-056,SUP-020,2024-07-18,2027-04-08,3900000,False,False,FY27-Q2,0,0.0,0,False
CON-057,SUP-021,2025-07-29,2028-07-25,1700000,False,False,FY28-Q3,0,0.0,0,False
CON-058,SUP-021,2026-11-02,2029-01-09,500000,False,False,FY29-Q1,0,0.0,0,False
CON-059,SUP-022,2026-05-09,2029-01-12,5300000,False,False,FY29-Q1,0,0.0,0,False
CON-060,SUP-022,2024-08-14,2027-02-28,4100000,False,False,FY27-Q1,0,0.0,0,False
CON-061,SUP-022,2026-07-01,2028-02-13,3300000,False,False,FY28-Q1,0,0.0,0,False
CON-062,SUP-022,2027-01-07,2028-07-20,1900000,False,False,FY28-Q3,0,0.0,0,False
CON-063,SUP-023,2025-08-13,2028-04-10,8600000,False,False,FY28-Q2,0,0.0,0,False
CON-064,SUP-023,2024-11-14,2027-09-04,7000000,False,False,FY27-Q3,0,0.0,0,False
CON-065,SUP-024,2025-02-11,2027-08-19,2900000,False,False,FY27-Q3,0,0.0,0,False
CON-066,SUP-024,2024-11-30,2027-06-23,4400000,False,True,FY27-Q2,0,0.0,0,False
CON-067,SUP-024,2025-04-18,2027-08-07,3500000,False,True,FY27-Q3,0,0.0,0,False
CON-068,SUP-025,2025-02-15,2027-02-23,6900000,False,False,FY27-Q1,0,0.0,0,False
CON-069,SUP-025,2026-10-13,2028-02-04,6200000,False,False,FY28-Q1,0,0.0,0,False
CON-070,SUP-025,2027-07-14,2028-11-25,7000000,False,False,FY28-Q4,0,0.0,0,False
CON-071,SUP-025,2025-10-11,2027-10-10,4300000,False,True,FY27-Q4,0,0.0,0,False
CON-072,SUP-025,2024-06-15,2027-06-14,3600000,False,True,FY27-Q2,0,0.0,0,False
CON-073,SUP-026,2026-09-16,2028-10-12,7300000,False,False,FY28-Q4,0,0.0,0,False
CON-074,SUP-026,2028-08-06,2029-11-17,8900000,False,False,FY29-Q4,0,0.0,0,False
CON-075,SUP-026,2025-08-19,2028-06-25,7400000,True,False,FY28-Q2,0,0.0,0,False
CON-076,SUP-027,2027-11-26,2029-10-26,6800000,False,False,FY29-Q4,0,0.0,0,False
CON-077,SUP-027,2028-02-20,2029-05-26,6600000,False,False,FY29-Q2,0,0.0,0,False
CON-078,SUP-027,2026-11-23,2028-11-05,800000,False,False,FY28-Q4,0,0.0,0,False
CON-079,SUP-028,2025-09-22,2027-01-31,6600000,False,False,FY27-Q1,0,0.0,0,False
CON-080,SUP-028,2028-07-06,2029-08-14,3000000,False,False,FY29-Q3,0,0.0,0,False
CON-081,SUP-028,2027-10-12,2029-03-08,3500000,False,False,FY29-Q1,0,0.0,0,False
CON-082,SUP-028,2026-04-03,2027-09-09,9100000,False,False,FY27-Q3,0,0.0,0,False
CON-083,SUP-029,2024-08-20,2026-12-24,8500000,True,False,FY26-Q4,0,0.0,0,False
CON-084,SUP-029,2026-01-18,2028-06-09,3500000,False,True,FY28-Q2,0,0.0,0,False
CON-085,SUP-029,2026-11-30,2028-01-14,500000,False,False,FY28-Q1,0,0.0,0,False
CON-086,SUP-029,2025-06-13,2027-05-24,6800000,False,False,FY27-Q2,0,0.0,0,False
CON-087,SUP-030,2024-07-29,2027-03-28,500000,False,False,FY27-Q1,0,0.0,0,False
CON-088,SUP-030,2026-06-23,2028-10-31,1500000,False,False,FY28-Q4,0,0.0,0,False
CON-089,SUP-030,2027-01-21,2028-02-18,9500000,False,True,FY28-Q1,0,0.0,0,False
CON-090,SUP-030,2026-01-21,2027-11-21,7900000,True,False,FY27-Q4,0,0.0,0,False
CON-091,SUP-009,2025-05-01,2026-08-15,6300000,False,False,FY26-Q3,4000000,0.4,1600000,False
CON-092,SUP-010,2025-04-29,2026-08-15,8900000,False,False,FY26-Q3,3000000,0.5,1500000,False
