id,supplier_id,month,on_time_rate,incidents
TLM-001-2026-01,SUP-001,2026-01,0.722,2
TLM-001-2026-02,SUP-001,2026-02,0.657,3
TLM-001-2026-03,SUP-001,2026-03,0.657,2
TLM-001-2026-04,SUP-001,2026-04,0.682,4
TLM-001-2026-05,SUP-001,2026-05,0.692,2
TLM-001-2026-06,SUP-001,2026-06,0.706,2
TLM-002-2026-01,SUP-002,2026-01,0.888,2
TLM-002-2026-02,SUP-002,2026-02,0.869,2
TLM-002-2026-03,SUP-002,2026-03,0.907,1
TLM-002-2026-04,SUP-002,2026-04,0.815,1
TLM-002-2026-05,SUP-002,2026-05,0.866,0
TLM-002-2026-06,SUP-002,2026-06,0.906,1
TLM-003-2026-01,SUP-003,2026-01,0.849,2
TLM-003-2026-02,SUP-003,2026-02,0.796,1
TLM-003-2026-03,SUP-003,2026-03,0.826,2
TLM-003-2026-04,SUP-003,2026-04,0.804,1
TLM-003-2026-05,SUP-003,2026-05,0.756,3
TLM-003-2026-06,SUP-003,2026-06,0.754,3
TLM-004-2026-01,SUP-004,2026-01,0.594,3
TLM-004-2026-02,SUP-004,2026-02,0.653,4
TLM-004-2026-03,SUP-004,2026-03,0.658,3
TLM-004-2026-04,SUP-004,2026-04,0.636,5
TLM-004-2026-05,SUP-004,2026-05,0.644,3
TLM-004-2026-06,SUP-004,2026-06,0.595,3
TLM-005-2026-01,SUP-005,2026-01,0.576,5
TLM-005-2026-02,SUP-005,2026-02,0.57,5
TLM-005-2026-03,SUP-005,2026-03,0.513,5
TLM-005-2026-04,SUP-005,2026-04,0.535,5
TLM-005-2026-05,SUP-005,2026-05,0.555,5
TLM-005-2026-06,SUP-005,2026-06,0.566,4
TLM-006-2026-01,SUP-006,2026-01,0.493,5
TLM-006-2026-02,SUP-006,2026-02,0.43,5
TLM-006-2026-03,SUP-006,2026-03,0.489,5
TLM-006-2026-04,SUP-006,2026-04,0.465,6
TLM-006-2026-05,SUP-006,2026-05,0.471,6
TLM-006-2026-06,SUP-006,2026-06,0.44,5
TLM-007-2026-01,SUP-007,2026-01,0.736,3
TLM-007-2026-02,SUP-007,2026-02,0.804,2
TLM-007-2026-03,SUP-007,2026-03,0.789,1
TLM-007-2026-04,SUP-007,2026-04,0.797,2
TLM-007-2026-05,SUP-007,2026-05,0.819,1
